Grid,Sample,Length,Height,BD,Wet_total,Wet_sample,Dry_sample,notes
KL,O1_2,143,0.7,27,219.8,45.1,27.3,
KL,A2_1,78,1,11,72.8,34.9,18.9,
KL,A2_2,85,1.2,10,71,39.6,21.6,
KL,A4_1,175,2,23,175.5,38,20.9,
KL,A4_2,110,1.5,14,80.4,27.2,15.1,
KL,B5_1,145,0.7,17,327.2,64.8,34.3,
KL,B5_2,170,1.7,27,564.5,39.5,20.2,
KL,B6_1,140,1.2,20,301.6,66.2,42,
KL,B6_2,152,1.7,28,449.5,40.6,19.8,
KL,C6_1,178,1.9,23,157.9,47.5,26.2,
KL,D6_1,98,1.5,7,52.7,52.7,35.5,
KL,F6_1,166,1.4,22,158.2,40.4,24.1,
KL,F6_2,190,1.5,22,279,58.7,34.2,
KL,G3_1,100,1.5,14,96.8,26.5,16.4,
KL,G3_2,143,0.6,25,,,,was an unknown
KL,H3_1,175,1.4,21,,,,was an unknown
KL,H3_2,130,1.8,21,167.6,59.8,33.9,
KL,H6_1,287,1.4,41,530,47.2,22.9,
KL,H6_2,90,1.2,9,87.8,45.1,24.4,
KL,H9_1,156,1,23,153.2,40.3,22.9,5
KL,H9_2,125,1.2,15,175.8,29.3,16.2,5
KL,I3_1,240,1.4,32,158.4,49.6,27.9,
KL,L10_1,122,1.5,16,119,61.8,34.7,
KL,L10_2,64,1.6,12,81.9,40.4,26.1,
KL,L11_1,74,0.5,12,65.1,51.5,30.3,
KL,L11_2,300,1.9,45,1017.2,37.2,20.7,
KL,N1_1,170,1.7,20,152.9,54.6,30,
KL,N1_2,182,1.8,18,125.3,53.9,32.5,
KL,N8_1,213,1.7,26,299.8,67,36.9,
KL,N9_1,78,1.1,8,54.7,44.9,32.7,
KL,N9_2,105,1.3,12,162.2,65.5,38,was unknown 3
KL,O1_1,55,1.7,23,280.3,57.1,32.2,
KL,O7_1,92,1.2,11,69.2,35.7,18.7,
KL,O7_2,121,1.1,23,173.2,57.1,36.5,
KL,P2_1,109,1.2,13,196.3,83.4,46.9,
KL,P2_2,206,1.8,38,799.5,51.8,26.4,
KL,P3_1,100,1.5,17,169.8,62.1,35.1,
KL,P3_2,177,1.8,24,213,46,29.2,
JO,A1_1,50,0.5,7,21,15,8.8,
JO,A4_1,102,1.3,16,305.5,38.2,19.1,
JO,A4_2,59,1.5,6,23,19.1,10.6,
JO,A5_1,235,1.3,38,223.5,16.3,9.7,
JO,A6_1,187,2.9,33,468.5,35.5,18.9,
JO,B8_1,176,1.6,30,569.5,26.6,14.7,
JO,B9_1,218,1.5,36,594,27.1,14.6,
JO,C12_1,263,2,33,408,28,14.5,
JO,C13_1,176,1.7,36,622,34.3,17.5,
JO,01_1,179,1.3,27,124,24.7,12.7,
JO,01_2,125,1.8,36,267,23.5,12.4,
KL,64_1,92,1.7,9,72,23.9,12,
KL,64_2,51,1.6,6,28,26.2,13.5,
KL,65_1,56,1.4,8,61,30.4,16.8,
KL,65_2,41,1,9,14,13.4,8,
KL,69_1,144,1.9,11,112.5,37.9,18.1,
KL,69_2,62,0.9,11,48.5,20.3,12.2,
KL,59_1,77,1.9,8,40.5,20.3,11.5,
KL,59_2,126,1.7,19,134.5,34.1,18.5,
KL,48_1,97,1.8,8,63.5,16.8,9.6,
KL,48_2,134,1.8,13,108.5,35.7,18.3,
KL,46_1,90,1.6,15,119,30.1,17.1,
KL,46_2,57,1.8,7,29.5,23.5,13.7,
KL,45_1,110,2.2,12,122,32.5,17.6,
KL,45_2,74,1.3,9,65.8,21.8,11.8,
KL,35_1,96,1.1,15,139,34.8,19,
KL,35_2,133,1.8,18,226,28.9,15.2,
KL,15_1,108,1.5,15,173.5,37.7,19.9,
KL,15_2,70,1.5,8,46,21.4,11.7,
KL,14_1,147,1.7,21,527,,,
KL,14_2,64,1.8,8,37,17.1,9.6,
SU,04_1,,1.5,33,964,83.4,40,
SU,04_2,,1.7,35,378,52.8,28.7,
SU,010_1,,1,31,491,96.2,53.2,
SU,011_1,,1,45,1067,69.3,36.1,
SU,15_1,,1.5,38,385.5,61.4,33.2,
KL,F5_1,,1.8,50,895,49.8,27.3,
KL,L9_1,,1.5,45,1044,59.8,30.6,
KL,N10_1,,1,40,442.5,72.5,42.5,
KL,J12_1,,1.2,58,1401.5,68.8,35.1,
